mode,mode_short,case,case_class,prompt_style,run_dir,worktree,run_status,agent_ok,agent_exit_code,agent_timed_out,agent_elapsed_ms,agent_elapsed_s,setup_elapsed_ms,setup_elapsed_s,worktree_elapsed_ms,materialize_count,setup_command_count,setup_failed_commands,total_elapsed_s_incl_setup,validation_ok,hard_passed,hard_total,hard_pass_rate,soft_passed,soft_total,soft_pass_rate,answer_chars,answer_words,answer_lines,file_reference_count,unique_file_reference_count,existing_file_reference_count,missing_file_reference_count,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,cache_hit_rate,input_cost,cached_input_cost,output_cost,estimated_cost_usd,json_events,tool_events_agent_summary,command_events_agent_summary,event_count,assistant_message_count,tool_call_count_normalized,adjacent_collapsed_tool_calls,unique_tool_signatures,crg_tool_call_count,graphify_shell_call_count,code_review_graph_shell_call_count,uvx_crg_shell_call_count,rough_search_shell_count,rough_read_shell_count,behavior_source_read_count,behavior_search_count,behavior_graphify_command_count,behavior_graphify_query_count,active_skills_count,active_skills
base-default-code-review-graph,crg,inactive-customers-csv,everyday,neutral,/mnt/data/agg_extracted/aggregated_run_01/base-default-code-review-graph/neutral/inactive-customers-csv/r1,/home/simon/repos/lorq-worktrees/base-default-code-review-graph__neutral__inactive-customers-csv__r1,completed,True,0,False,134635,134.635,24666,24.666,386,9,5,,159.301,True,4,4,1.0,0,4,0.0,6510,819,91,0,0,0,0,399587,336384,63203,4596,1196,404183,0.841829188637268,0.316015,0.168192,0.13788,0.6220870000000001,31,8,16,27,4,22,11,11,6,0,2,0,8,10,0,8,0,0,18,"analyzing-code,analyzing-code-structure,choosing-cli-tools,code-review-graph,composing-cli-workflows,debug-issue,explore-codebase,extracting-code-structure,finding-files,fuzzy-selecting,querying-json,querying-yaml,refactor-safely,replacing-text,review-changes,searching-text,viewing-files,working-with-dotnet-backends"
base-default-graphify-code-review-graph,graphify+crg,inactive-customers-csv,everyday,neutral,/mnt/data/agg_extracted/aggregated_run_01/base-default-graphify-code-review-graph/neutral/inactive-customers-csv/r1,/home/simon/repos/lorq-worktrees/base-default-graphify-code-review-graph__neutral__inactive-customers-csv__r1,completed,True,0,False,159914,159.914,109850,109.85,373,12,7,,269.764,True,5,5,1.0,2,6,0.3333333333333333,4892,598,43,1,1,0,1,919781,803072,116709,6589,2518,926370,0.8731121864878705,0.583545,0.401536,0.19767,1.182751,40,4,30,34,3,30,15,15,0,8,2,0,18,24,16,18,8,4,20,"analyzing-code,analyzing-code-structure,choosing-cli-tools,code-review-graph,composing-cli-workflows,debug-issue,explore-codebase,extracting-code-structure,finding-files,fuzzy-selecting,graphify,graphify-query-planner,querying-json,querying-yaml,refactor-safely,replacing-text,review-changes,searching-text,viewing-files,working-with-dotnet-backends"
base-only,base,auth-discovery,hard_graph_friendly,neutral,/mnt/data/agg_extracted/aggregated_run_01/base-only/neutral/auth-discovery/r1,/home/simon/repos/lorq-worktrees/base-only__neutral__auth-discovery__r1,validation_failed,True,0,False,136134,136.134,0,0.0,375,1,0,,136.134,False,9,11,0.8181818181818182,4,6,0.6666666666666666,6664,744,42,0,0,0,0,545531,468224,77307,5933,805,551464,0.8582903629674574,0.386535,0.234112,0.17799,0.7986369999999999,67,0,61,65,3,61,33,31,0,0,0,0,19,52,10,19,0,0,13,"analyzing-code,analyzing-code-structure,choosing-cli-tools,composing-cli-workflows,extracting-code-structure,finding-files,fuzzy-selecting,querying-json,querying-yaml,replacing-text,searching-text,viewing-files,working-with-dotnet-backends"
base-default-graphify,graphify,auth-discovery,hard_graph_friendly,neutral,/mnt/data/default_graphify_extracted/default-graphify/runs/base-default-graphify/neutral/auth-discovery/r1,/home/simon/repos/lorq-worktrees/base-default-graphify__neutral__auth-discovery__r1,validation_failed,True,0,False,138893,138.893,86987,86.987,370,3,2,,225.88,False,8,11,0.7272727272727273,4,7,0.5714285714285714,9135,981,52,1,1,0,1,689454,592768,96686,6132,287,695586,0.8597643932735178,0.48343,0.296384,0.18396,0.963774,86,0,74,84,9,74,42,37,0,8,0,0,30,36,0,30,8,2,14,"analyzing-code,analyzing-code-structure,choosing-cli-tools,composing-cli-workflows,extracting-code-structure,finding-files,fuzzy-selecting,graphify,querying-json,querying-yaml,replacing-text,searching-text,viewing-files,working-with-dotnet-backends"
base-default-code-review-graph,crg,auth-discovery,hard_graph_friendly,neutral,/mnt/data/agg_extracted/aggregated_run_01/base-default-code-review-graph/neutral/auth-discovery/r1,/home/simon/repos/lorq-worktrees/base-default-code-review-graph__neutral__auth-discovery__r1,validation_failed,True,0,False,114674,114.674,25271,25.271,368,9,5,,139.945,False,9,11,0.8181818181818182,4,6,0.6666666666666666,6341,709,58,0,0,0,0,576463,495360,81103,4852,659,581315,0.8593092704995811,0.405515,0.24768,0.14556,0.798755,40,8,26,36,3,32,16,16,6,0,2,0,18,20,10,18,0,0,18,"analyzing-code,analyzing-code-structure,choosing-cli-tools,code-review-graph,composing-cli-workflows,debug-issue,explore-codebase,extracting-code-structure,finding-files,fuzzy-selecting,querying-json,querying-yaml,refactor-safely,replacing-text,review-changes,searching-text,viewing-files,working-with-dotnet-backends"
base-default-graphify-code-review-graph,graphify+crg,auth-discovery,hard_graph_friendly,neutral,/mnt/data/agg_extracted/aggregated_run_01/base-default-graphify-code-review-graph/neutral/auth-discovery/r1,/home/simon/repos/lorq-worktrees/base-default-graphify-code-review-graph__neutral__auth-discovery__r1,validation_failed,True,0,False,197818,197.818,108548,108.548,382,12,7,,306.366,False,10,12,0.8333333333333334,5,7,0.7142857142857143,8544,961,54,0,0,0,0,845289,727296,117993,6064,1229,851353,0.8604110546807069,0.589965,0.363648,0.18192,1.1355330000000001,41,2,32,37,4,32,16,16,0,6,2,0,24,6,2,24,6,4,20,"analyzing-code,analyzing-code-structure,choosing-cli-tools,code-review-graph,composing-cli-workflows,debug-issue,explore-codebase,extracting-code-structure,finding-files,fuzzy-selecting,graphify,graphify-query-planner,querying-json,querying-yaml,refactor-safely,replacing-text,review-changes,searching-text,viewing-files,working-with-dotnet-backends"
base-only,base,order-total-impact,hard_graph_friendly,neutral,/mnt/data/agg_extracted/aggregated_run_01/base-only/neutral/order-total-impact/r1,/home/simon/repos/lorq-worktrees/base-only__neutral__order-total-impact__r1,validation_failed,True,0,False,188618,188.618,0,0.0,359,1,0,,188.618,False,9,11,0.8181818181818182,7,7,1.0,14622,1722,113,0,0,0,0,705806,600576,105230,8771,2016,714577,0.8509080398863144,0.52615,0.300288,0.26313,1.0895679999999999,45,0,38,43,4,38,19,19,0,0,0,0,22,22,6,22,0,0,13,"analyzing-code,analyzing-code-structure,choosing-cli-tools,composing-cli-workflows,extracting-code-structure,finding-files,fuzzy-selecting,querying-json,querying-yaml,replacing-text,searching-text,viewing-files,working-with-dotnet-backends"
base-default-graphify,graphify,order-total-impact,hard_graph_friendly,neutral,/mnt/data/default_graphify_extracted/default-graphify/runs/base-default-graphify/neutral/order-total-impact/r1,/home/simon/repos/lorq-worktrees/base-default-graphify__neutral__order-total-impact__r1,validation_failed,True,0,False,170024,170.024,83484,83.484,362,3,2,,253.508,False,9,11,0.8181818181818182,7,7,1.0,6610,807,43,0,0,0,0,512638,420096,92542,6410,845,519048,0.8194788525236132,0.46271,0.210048,0.1923,0.865058,75,0,64,73,8,64,36,32,0,20,0,0,4,48,48,4,20,4,14,"analyzing-code,analyzing-code-structure,choosing-cli-tools,composing-cli-workflows,extracting-code-structure,finding-files,fuzzy-selecting,graphify,querying-json,querying-yaml,replacing-text,searching-text,viewing-files,working-with-dotnet-backends"
base-default-code-review-graph,crg,order-total-impact,hard_graph_friendly,neutral,/mnt/data/agg_extracted/aggregated_run_01/base-default-code-review-graph/neutral/order-total-impact/r1,/home/simon/repos/lorq-worktrees/base-default-code-review-graph__neutral__order-total-impact__r1,validation_failed,True,0,False,182365,182.365,25039,25.039,373,9,5,,207.404,False,9,11,0.8181818181818182,7,7,1.0,11520,1393,79,0,0,0,0,937629,811008,126621,7140,1443,944769,0.8649561820293528,0.633105,0.405504,0.2142,1.252809,50,8,36,46,3,42,21,21,6,0,2,0,30,24,12,30,0,0,18,"analyzing-code,analyzing-code-structure,choosing-cli-tools,code-review-graph,composing-cli-workflows,debug-issue,explore-codebase,extracting-code-structure,finding-files,fuzzy-selecting,querying-json,querying-yaml,refactor-safely,replacing-text,review-changes,searching-text,viewing-files,working-with-dotnet-backends"
base-default-graphify-code-review-graph,graphify+crg,order-total-impact,hard_graph_friendly,neutral,/mnt/data/agg_extracted/aggregated_run_01/base-default-graphify-code-review-graph/neutral/order-total-impact/r1,/home/simon/repos/lorq-worktrees/base-default-graphify-code-review-graph__neutral__order-total-impact__r1,validation_failed,True,0,False,157262,157.262,108480,108.48,366,12,7,,265.742,False,10,12,0.8333333333333334,8,8,1.0,13197,1541,95,0,0,0,0,798837,696832,102005,7072,1368,805909,0.8723081179264356,0.510025,0.348416,0.21216,1.070601,40,4,30,34,3,30,15,15,0,6,2,0,18,20,12,18,6,4,20,"analyzing-code,analyzing-code-structure,choosing-cli-tools,code-review-graph,composing-cli-workflows,debug-issue,explore-codebase,extracting-code-structure,finding-files,fuzzy-selecting,graphify,graphify-query-planner,querying-json,querying-yaml,refactor-safely,replacing-text,review-changes,searching-text,viewing-files,working-with-dotnet-backends"
base-only,base,cart-to-order-flow,hard_graph_friendly,neutral,/mnt/data/agg_extracted/aggregated_run_01/base-only/neutral/cart-to-order-flow/r1,/home/simon/repos/lorq-worktrees/base-only__neutral__cart-to-order-flow__r1,validation_failed,True,0,False,135827,135.827,0,0.0,378,1,0,,135.827,False,12,14,0.8571428571428571,3,7,0.42857142857142855,8122,966,90,0,0,0,0,405348,298240,107108,5804,1165,411152,0.7357628506863239,0.53554,0.14912,0.17412,0.8587800000000001,41,0,34,39,4,34,17,17,0,0,0,0,16,32,10,16,0,0,13,"analyzing-code,analyzing-code-structure,choosing-cli-tools,composing-cli-workflows,extracting-code-structure,finding-files,fuzzy-selecting,querying-json,querying-yaml,replacing-text,searching-text,viewing-files,working-with-dotnet-backends"
base-default-graphify,graphify,cart-to-order-flow,hard_graph_friendly,neutral,/mnt/data/default_graphify_extracted/default-graphify/runs/base-default-graphify/neutral/cart-to-order-flow/r1,/home/simon/repos/lorq-worktrees/base-default-graphify__neutral__cart-to-order-flow__r1,validation_failed,True,0,False,125746,125.746,85491,85.491,362,3,2,,211.237,False,12,14,0.8571428571428571,3,7,0.42857142857142855,7164,791,36,0,0,0,0,504999,380416,124583,5672,248,510671,0.7533005015851516,0.622915,0.190208,0.17016,0.983283,77,0,64,75,10,64,32,32,0,12,0,0,14,44,0,14,8,2,14,"analyzing-code,analyzing-code-structure,choosing-cli-tools,composing-cli-workflows,extracting-code-structure,finding-files,fuzzy-selecting,graphify,querying-json,querying-yaml,replacing-text,searching-text,viewing-files,working-with-dotnet-backends"
base-default-code-review-graph,crg,cart-to-order-flow,hard_graph_friendly,neutral,/mnt/data/agg_extracted/aggregated_run_01/base-default-code-review-graph/neutral/cart-to-order-flow/r1,/home/simon/repos/lorq-worktrees/base-default-code-review-graph__neutral__cart-to-order-flow__r1,validation_failed,True,0,False,133322,133.322,23716,23.716,377,9,5,,157.038,False,12,14,0.8571428571428571,4,7,0.5714285714285714,6914,802,106,0,0,0,0,731906,635648,96258,5179,965,737085,0.8684831112192003,0.48129,0.317824,0.15537,0.954484,41,4,30,35,4,30,15,15,0,0,2,0,18,26,10,18,0,0,18,"analyzing-code,analyzing-code-structure,choosing-cli-tools,code-review-graph,composing-cli-workflows,debug-issue,explore-codebase,extracting-code-structure,finding-files,fuzzy-selecting,querying-json,querying-yaml,refactor-safely,replacing-text,review-changes,searching-text,viewing-files,working-with-dotnet-backends"
base-default-graphify-code-review-graph,graphify+crg,cart-to-order-flow,hard_graph_friendly,neutral,/mnt/data/agg_extracted/aggregated_run_01/base-default-graphify-code-review-graph/neutral/cart-to-order-flow/r1,/home/simon/repos/lorq-worktrees/base-default-graphify-code-review-graph__neutral__cart-to-order-flow__r1,validation_failed,True,0,False,160716,160.716,109223,109.223,372,12,7,,269.939,False,13,15,0.8666666666666667,5,8,0.625,7542,888,78,0,0,0,0,922142,859392,62750,6883,2021,929025,0.9319519119614983,0.31375,0.429696,0.20649,0.9499360000000001,44,8,30,34,3,30,15,15,0,6,2,0,14,20,6,14,6,4,20,"analyzing-code,analyzing-code-structure,choosing-cli-tools,code-review-graph,composing-cli-workflows,debug-issue,explore-codebase,extracting-code-structure,finding-files,fuzzy-selecting,graphify,graphify-query-planner,querying-json,querying-yaml,refactor-safely,replacing-text,review-changes,searching-text,viewing-files,working-with-dotnet-backends"
